client,project_id,month,invoiced_hours,invoiced_amount
Meridian Capital,PRJ01,2026-06,359.9,64302.13
Meridian Capital,PRJ01,2026-07,447.4,79935.47
Meridian Capital,PRJ01,2026-08,403.8,72145.6
Northbridge Retail,PRJ02,2026-06,477.7,76166.61
Northbridge Retail,PRJ02,2026-07,510.6,81412.33
Northbridge Retail,PRJ02,2026-08,474.0,75576.67
Solace Health,PRJ03,2026-06,444.4,69918.93
Solace Health,PRJ03,2026-07,454.6,71523.73
Solace Health,PRJ03,2026-08,400.6,63027.73
Vantage Logistics,PRJ04,2026-06,409.1,58337.66
Vantage Logistics,PRJ04,2026-07,390.6,55699.56
Vantage Logistics,PRJ04,2026-08,347.0,49482.2
Cobalt Manufacturing,PRJ05,2026-06,245.4,43583.04
Cobalt Manufacturing,PRJ05,2026-07,218.6,38823.36
Cobalt Manufacturing,PRJ05,2026-08,213.0,37828.8
Halcyon Insurance,PRJ06,2026-06,948.7,154551.85
Halcyon Insurance,PRJ06,2026-07,1170.9,190750.25
Halcyon Insurance,PRJ06,2026-08,979.3,159536.87
Ferro Steelworks,PRJ07,2026-06,351.4,64763.02
Ferro Steelworks,PRJ07,2026-07,384.9,70937.07
Ferro Steelworks,PRJ07,2026-08,391.1,72079.73
Brightline Telecom,PRJ08,2026-06,162.7,27116.67
Brightline Telecom,PRJ08,2026-07,147.1,24516.67
Brightline Telecom,PRJ08,2026-08,117.6,19600.0
Anchorage Foods,PRJ09,2026-06,560.0,96880.0
Anchorage Foods,PRJ09,2026-07,650.9,112605.7
Anchorage Foods,PRJ09,2026-08,626.9,108453.7
